feed_per_tube_fraction,steam_to_carbon,inlet_T,excess_air,specific_firing_factor,inlet_P,catalyst_activity,H2_net_kmol_h,Q_comb_W,fuel_MJ_per_kmol_H2,T_wo_max_K,sigma_hot_MPa,log10_t_r_hot,life_rate_per_kmol_H2_rel_base,CH4_slip_dry_pct,T_out_K,rank,H2_net_kmol_h_phys,T_wo_max_K_phys,T_out_K_phys,CH4_slip_dry_pct_phys,sigma_hot_MPa_phys,converged_phys,fuel_MJ_per_kmol_H2_phys,life_rate_per_kmol_H2_rel_base_phys,feasible_phys,disc_H2_net_kmol_h,disc_fuel_MJ_per_kmol_H2,disc_life_rate_per_kmol_H2_rel_base
1.0994902436688385,4.0,899.9999718212571,5.000448208800782,1.1499993560935802,30.06,0.2,19.255170617422404,276902605.5831652,154.07880253025522,1177.05686975728,12.637790176655022,6.448139509722115,3.2160406359514084,3.8891770608879646,1124.4502023380949,0,19.25386231476956,1177.1419748635903,1124.5357889843303,3.8915176559239346,12.632443668389362,True,154.08927220656233,3.2228861447356216,True,0.0013083026528448727,-0.010469676307110376,-0.0068455087842131945
0.600168821195674,4.0,859.4311950256075,24.975086865295157,0.850049316194182,30.06,0.2,9.193370395097219,111726351.69422399,130.2099232839652,1091.5719237064181,12.979324916752295,8.346910682677226,0.0850399444684814,7.778386592672103,1065.8387163503437,0,9.192200511246407,1091.6192505746183,1065.8628905664473,7.780192907841925,12.985180102912596,True,130.22649499454516,0.08549056151944698,True,0.0011698838508120701,-0.016571710579967203,-0.00045061705096557936
1.0999999941121705,4.0,800.0032099276174,24.99999367282054,1.1499992797845882,30.06,0.2,16.827833915908712,277030965.98954546,176.38567959186292,1108.0578752071451,12.5207503661908,8.02925474471331,0.09654403518071357,7.811013751742688,1067.9155663223275,0,16.820282200643604,1107.9828616348989,1067.9091119403506,7.818784124949012,12.652962629762088,True,176.46487055984025,0.10168226116744741,False,0.007551715265108783,-0.0791909679773255,-0.005138225986733844
0.6000160772751695,4.0,899.9998242611861,5.000050354177301,0.8500001818562194,30.06,0.2,9.865494699152705,111691460.82477164,121.30098485840055,1127.4153218072795,12.980931766457987,7.489915136884893,0.5701306696064858,5.719108737570841,1092.3688171707886,0,9.865414153536346,1127.5329261789057,1092.365960464863,5.71708009098419,12.986339418842626,True,121.30197521343668,0.5749861342877227,True,8.054561635972846e-05,-0.0009903550361229918,-0.004855464681236876
0.6244845806452468,3.9987,823.2891450377816,24.483661056788065,0.8971321377261313,30.06,0.2,9.557501875587176,122691986.81833562,137.54190359960177,1092.0034693923199,12.973271431695387,8.33736936740127,0.08361701295080441,7.8000943845084985,1065.968327836705,0,9.557690648250857,1092.019482824815,1065.986508473341,7.799167219049169,12.977361657101678,True,137.53918702794593,0.08383581356672203,True,-0.0001887726636802256,0.0027165716558386066,-0.00021880061591761368
1.0999996219014152,4.0,899.9999718212571,5.000448208800782,1.1499997573298164,30.06,0.2,19.26271852857832,277030987.28863466,154.08983654708223,1177.0487665018031,12.637344001924737,6.448388476661066,3.2129380601183795,3.891184537662884,1124.409408028544,0,19.26144606972057,1177.1338871435119,1124.4947332996455,3.893550108709039,12.631997195287218,True,154.1000161035233,3.2197730447740094,True,0.0012724588577484042,-0.0101795564410736,-0.006834984655629928
1.0834074283870765,4.0,812.3706537207587,24.840457597889202,1.1166746652383512,30.06,0.2,16.581463289308413,264945493.7253036,171.1972983901708,1107.6756398598243,12.68534492594597,8.008413346385666,0.10279505148435669,7.797105800065156,1067.7312810514659,0,16.578200993469054,1107.7001676729317,1067.7239536232166,7.800090294107225,12.669331245747644,True,171.23098698125904,0.10226613759907636,True,0.0032622958393595525,-0.03368859108823585,0.0005289138852803271
0.6125846955101193,4.0,899.7928548373534,5.097813111773712,0.8504987624667407,30.06,0.2,10.058148511118421,114097963.69178024,121.54107498617529,1127.301533246369,12.975578392320822,7.493497533943813,0.5546165574062804,5.760183777172207,1091.7505533492824,0,10.057900675064158,1127.4137611383856,1091.7565092963835,5.758113983480601,12.98068892948194,True,121.54406987163188,0.5591222519521444,True,0.00024783605426392796,-0.002994885456587326,-0.004505694545864025
1.099939047472096,3.9996,837.4510062692935,24.60384535803444,1.1179676053645375,30.06,0.2,17.094725908416212,269299721.4940453,168.78621946457946,1113.6059343995973,12.685981922965464,7.8666000417459365,0.13821215066985118,7.349853096975094,1073.0312210040424,0,17.0937789234865,1113.6496954305812,1073.0209882083973,7.349366294672236,12.646664216634898,True,168.7955701182232,0.1362978669758094,True,0.0009469849297119026,-0.009350653643735996,0.0019142836940417851
1.0999971388057013,4.0,899.3911270256152,5.131687671749972,1.1499669640840928,30.06,0.2,19.248020726532182,277022462.1675191,154.202754200403,1176.5905987666813,12.63746440855221,6.4581217308171155,3.1441307643857788,3.913134591807056,1124.0065454720782,0,19.247027279764275,1176.6704122971353,1124.0867155569922,3.9151574913751785,12.632309555197784,True,154.21071346733478,3.150200621617023,True,0.0009934467679073578,-0.00795926693177762,-0.006069857231244313
