,steam_to_carbon,feed_per_tube_fraction,specific_firing_factor,inlet_T,inlet_P,catalyst_activity,excess_air,Q_comb_W,H2_net_kmol_h_phys,fuel_MJ_per_kmol_H2_phys,life_rate_per_kmol_H2_rel_base_phys,CH4_slip_dry_pct_phys,T_wo_max_K_phys,T_out_K_phys,H2_rel_base_pct,fuel_rel_base_pct
base,2.892248062015504,1.0,1.0,884.55,30.06,0.2,21.64128020288727,218996949.3832803,14.81510339468536,158.37863724198897,1.0,7.81372102120694,1146.712500081438,1109.196026902705,0.0,0.0
min_life_iso_H2,3.9999,0.9603478897251606,0.8732261262375836,894.9371415977992,30.06,0.2,17.463082529126044,183651031.75131786,14.718730277741663,133.68609851371536,0.0825477941975811,7.765857835399998,1108.5131660009674,1065.2737153963878,-0.6505058680742581,-15.590826615426378
min_fuel_iso_H2,3.9828,0.9376317461663062,0.8608066218347109,899.9234431723445,30.06,0.2,5.266336558542654,176756733.6787902,14.875314278687638,127.3130846903725,0.3099212810275401,6.749965938814636,1128.8179323219579,1077.9014313831194,0.40641555038944954,-19.614736616372674
min_life_overall,4.0,0.6002403923574089,0.8500045866996063,857.8292146186154,30.06,0.2,24.93423175270952,111733795.52486202,9.183683096513652,130.35595812854393,0.04603896596478963,7.810775855509863,1091.2821538140895,1065.5000411676442,-38.011346584269354,-17.693471544794757
min_fuel_overall,4.0,0.6000012964186677,0.8500000707172497,899.999994265264,30.06,0.2,5.000003770654125,111688694.80258356,9.865200422418251,121.30159914958935,0.4719980732760051,5.7169930526982755,1127.533064768115,1092.3672918252937,-33.41119424143063,-23.41037827958393
knee,4.0,1.099999885093683,0.8708407350863681,899.9997823179715,30.06,0.2,5.000036292294464,209782588.90691677,17.221041306244498,130.5188551296388,0.2800745063755676,7.154082581806108,1130.4566077589795,1071.325127044986,16.23976456635612,-17.590618657605194
max_H2,4.0,1.099999885093683,1.149999718853931,899.9997823179715,30.06,0.2,5.000036292294464,277031044.30395925,19.26147337722377,154.09982934687523,4.328944455084651,3.893516032940229,1177.134843961707,1124.495369889795,30.01241276610638,-2.7016319685691514
