,steam_to_carbon,feed_per_tube_fraction,specific_firing_factor,inlet_T,inlet_P,catalyst_activity,excess_air,Q_comb_W,H2_net_kmol_h_phys,fuel_MJ_per_kmol_H2_phys,life_rate_per_kmol_H2_rel_base_phys,CH4_slip_dry_pct_phys,T_wo_max_K_phys,T_out_K_phys,H2_rel_base_pct,fuel_rel_base_pct
base,2.892248062015504,1.0,1.0,884.55,30.06,0.2,20.0,218996949.3832803,14.900920108951093,157.46651006067302,1.0,7.640137784666632,1149.984803142236,1111.2815738597365,0.0,0.0
min_life_iso_H2,3.9998,0.948726109638957,0.8500175725164976,899.9534152453501,30.06,0.2,8.306917347843234,176606556.24830258,14.830824344344968,127.58650893076558,0.15425357715835197,7.1920136885504,1121.0730907466025,1071.677002904084,-0.4704123241625724,-18.975464127829124
min_fuel_iso_H2,3.9998,0.948726109638957,0.8500175725164976,899.9534152453501,30.06,0.2,8.306917347843234,176606556.24830258,14.830824344344968,127.58650893076558,0.15425357715835197,7.1920136885504,1121.0730907466025,1071.677002904084,-0.4704123241625724,-18.975464127829124
min_life_overall,4.0,0.600021552035732,0.850000193771584,849.2835611812824,30.06,0.2,19.997947500143958,111692481.50318556,9.234300227495897,129.59348618527838,0.050780354363319125,7.639913079426066,1095.6924171409037,1067.4480343665205,-38.0286575595504,-17.700921843416072
min_fuel_overall,4.0,0.6000159566297388,0.8500091483976413,899.9999978397593,30.06,0.2,5.000104191664988,111692616.58539666,9.865466377644323,121.30258828755512,0.3873286944886718,5.716920289677922,1127.5348852080836,1092.3683740353167,-33.79290469641493,-22.96610356016887
knee,4.0,1.0885395103164828,0.850335041024092,898.8971824320884,30.06,0.2,5.375803167230923,202708676.60444513,16.853238396471582,128.87010951909852,0.17256721160946303,7.478378691495107,1125.5752513239156,1067.2103763691468,13.101998220550936,-18.160306296593532
max_H2,4.0,1.0999932446935945,1.149995865731599,899.9985777007134,30.06,0.2,5.000001828636477,277028443.74436206,19.26145468888877,154.0985322865176,3.5519672103650493,3.8933682186998713,1177.1341965025647,1124.4984142947553,29.263525661870183,-2.138853380860284
