,steam_to_carbon,feed_per_tube_fraction,specific_firing_factor,inlet_T,inlet_P,catalyst_activity,excess_air,Q_comb_W,H2_net_kmol_h_phys,fuel_MJ_per_kmol_H2_phys,life_rate_per_kmol_H2_rel_base_phys,CH4_slip_dry_pct_phys,T_wo_max_K_phys,T_out_K_phys,H2_rel_base_pct,fuel_rel_base_pct
base,2.892248062015504,1.0,1.0,884.55,30.06,0.2,21.64128020288727,218996949.3832803,14.81510339468536,158.37863724198897,1.0,7.81372102120694,1146.712500081438,1109.196026902705,0.0,0.0
min_life_iso_H2,4.0,0.9713035425542104,0.8721526883486205,896.7056964785735,30.06,0.2,17.604844743980763,185517789.83554533,14.867166747900422,133.6966645417863,0.12256367188164068,7.804485519823162,1108.3546842148958,1064.7561387423734,0.3514207888264842,-15.584155243418795
min_fuel_iso_H2,3.9641,0.9328813062639187,0.8500911363415158,898.992047602933,30.06,0.2,5.57689867521947,173672055.16411445,14.687930101489108,126.68715106608936,0.33449199475831964,6.957838168595202,1126.3242639224334,1075.8124185750262,-0.8584030081212446,-20.00995003352487
min_life_overall,3.9987,0.6244845806452468,0.8971321377261313,823.2891450377816,30.06,0.2,24.483661056788065,122691986.81833562,9.557690648250857,137.53918702794593,0.08383581356672203,7.799167219049169,1092.019482824815,1065.986508473341,-35.48684478517039,-13.157993134012225
min_fuel_overall,4.0,0.6000160772751695,0.8500001818562194,899.9998242611861,30.06,0.2,5.000050354177301,111691460.82477164,9.865414153536346,121.30197521343668,0.5749861342877227,5.71708009098419,1127.5329261789057,1092.365960464863,-33.409751584485214,-23.410140833515523
knee,4.0,1.099985516239765,0.8657920615819497,892.699079068949,30.06,0.2,5.424300915576476,208563656.11013874,17.06360737949159,130.957689747702,0.2809535261370888,7.421148962619406,1126.9325465153888,1068.0366950646005,15.17710626044526,-17.313539232181995
max_H2,4.0,1.0999996219014152,1.1499997573298164,899.9999718212571,30.06,0.2,5.000448208800782,277030987.28863466,19.26144606972057,154.1000161035233,3.2197730447740094,3.893550108709039,1177.1338871435119,1124.4947332996455,30.012228444050226,-2.701514050741771
