alloy,curve,lmp,stress_mpa,source_file,page,method,extracted_on
Centralloy G 4852 Micro,average,31.612449493036156,39.33636782114037,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.62310510577084,39.23900826299233,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.633946924217266,39.14007605922193,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.644974159802942,39.03958698361825,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.656186023955367,38.937556965358134,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.66758172810206,38.834002085034776,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.679160483670532,38.72893857067248,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.69092150208828,38.62238279372859,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.70286399478282,38.51435126508527,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.714987173181655,38.40486063102989,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.727290248712297,38.293927669228005,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.739772432802255,38.18156928468831,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.75243293687904,38.0678025057215,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.76527097237015,37.9526444798945,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.7782857507031,37.836112469980954,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.791476483305395,37.71822384990919,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.804842381604544,37.5989961007092,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.818382657028067,37.47844680645968,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.832096521003454,37.356593650236086,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.84598318495822,37.23345441006141,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.86004186031988,37.10904695486072,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.874271758515935,36.98338924042016,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.8886720909739,36.856499305352074,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.903242069121276,36.728395267067505,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.917980904385573,36.599095317756706,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.932887808194295,36.468617720379406,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.94796199197496,36.33698080466525,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.963202667155073,36.20420296312611,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.97860904516214,36.07030264708109,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,31.99418033742367,35.93529836269544,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.009915755367174,35.79920866703437,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.02581451042015,35.66205216413256,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.041875814010126,35.5238475010809,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.05809887756459,35.38461336413125,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.07448291251106,35.24436847481994,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.09102713027704,35.103131586111694,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.107730742290045,34.96092147856411,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.124592959977576,34.8177569565143,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.14161299476715,34.6736568442884,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.15879005808627,34.52863998243475,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.176123361362436,34.38272522398214,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.19361211602317,34.23593143072329,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.21125553349597,34.08827746952489,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.229052825208356,33.93978220866524,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.24700320258783,33.79046451419973,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.26510587706189,33.64034324635585,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.28336006005806,33.489437255957405,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.30176496300384,33.33776538087996,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.320319797326746,33.18534644253711,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.339023774454276,33.03219924239928,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.357876105813936,32.878342558545555,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.37687600283325,32.72379514224868,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.396022676939715,32.568575714594594,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.41531533956085,32.41270296313691,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.43475320212414,32.256195538587086,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.45433547605711,32.09907205154119,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.474061372787276,31.94135106924283,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
Centralloy G 4852 Micro,average,32.49393010374213,31.783051112384364,WST_4852_Micro_161109.pdf,6,vector,2026-09-07
