alloy,curve,lmp,stress_mpa,source_file,page,method,extracted_on
Centralloy ET 45 Micro,average,26.300619449797303,48.53263110175072,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.30934316417164,48.428590162237064,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.31822604449712,48.32273210521835,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.32726770117846,48.215068824630194,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.336467744620375,48.10561242333278,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.34582578522758,47.9943752108277,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.355341433404796,47.88136970093336,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.365014299556734,47.766608609419976,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.37484399408811,47.65010485160522,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.384830127403646,47.53187153991002,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.394972309908056,47.41192198137675,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.40527015200606,47.29026967514891,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.415723264102375,47.166928309913885,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.42633125660171,47.04191176130916,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.437093739908786,46.915234089293165,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.44801032442832,46.78690953548045,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.459080620565025,46.656952520443,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.470304238723628,46.52537764097757,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.481680789308836,46.392199667340364,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.493209882725363,46.257433540449405,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.50489112937794,46.12109436905578,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.516724139671265,45.98319742688377,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.528708524010074,45.843758149741525,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.54084389279907,45.70279213260232,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.553129856442972,45.56031512665777,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.5655660253465,45.41634303634332,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.578152009914366,45.27089191633714,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.590887420551294,45.1239779685328,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.603771867661994,44.97561753898716,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,26.61680496165118,44.825827114843804,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
