alloy,key,C,S2/S1,S3/S1,ageing y4/y1,knee/base,S/C 3.5 / 2.5,base t_r [y],scatter [dec],base LMP in range
G 4852 (HP-Nb),centralloy_g_4852,18.6,1.0097006252799519,1.0127906233594928,2.5907041545649716,0.2809535261370888,0.7382356632159968,1339.0587002588175,0.3128523238730079,True
G 4852 Micro,centralloy_g_4852_micro,22.9,0.9931252153818739,0.9864842861184543,3.137663622675274,0.22443951038286034,0.7161848418803316,7542.7419077007635,0.4437266709333819,True
ET 45 Micro,centralloy_et_45_micro,19.3,1.0097114689474593,1.0130363220668415,2.6683792832963715,0.26703280907723803,0.7303809456894661,1640.8575510925161,0.452120268399308,True
Yeh placeholder (legacy),legacy_yeh_manaurite_xm,22.96,0.9912127833685821,0.9833138126983969,3.1544147648652725,0.22510754498811103,0.7180894591869785,8981.70769979254,0.30086006734512666,True
