alloy,curve,lmp,stress_mpa,source_file,page,method,extracted_on
Centralloy G 4852,average,25.613135647340087,44.60439478493065,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.623065932498402,44.50240105713432,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.6331530537683,44.398810355628854,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.64339646876027,44.293632795855096,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.653795635084823,44.18687868078313,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.66435001035245,44.07855849922441,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.67505905217366,43.96868292410465,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.68592221815894,43.85726281069804,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.696938965918793,43.7443091948227,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.70810875306372,43.62983329099827,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.719431037204217,43.513846490565506,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.730905275950793,43.39636035976885,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.742530926913936,43.27738663780204,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.754307447704143,43.15693723481768,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.76623429593192,43.03502422990075,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.778310929207766,42.9116598690065,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.790536805142178,42.78685656286398,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.80291138134566,42.6606268848447,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.815434115428697,42.5329835687977,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.8281044650018,42.40393950685123,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.840921887675464,42.27350774718165,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.853885841060197,42.14170149174981,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.866995782766484,42.00853409400604,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.88025117040483,41.87401905656391,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.89365146158573,41.73817002884348,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.907196113919696,41.60100080468438,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.920884585017212,41.46252531992963,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.934716332488787,41.32275764998073,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.94869081394491,41.18171200732453,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.962807486996088,41.03940273903272,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.97706580925282,40.89584432423401,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,25.991465238325603,40.75105137156048,WST_G_4852_161109.pdf,6,vector,2026-09-07
Centralloy G 4852,average,26.00600523182494,40.605038616568,WST_G_4852_161109.pdf,6,vector,2026-09-07
