scenario,control,annual_H2_kmol_per_tube,annual_damage_D,years_to_D1_yeh_placeholder,life_consumption_per_kmol_H2_rel_S1,D_avg_condition,avg_condition_error,T_wo_max_mean_K,T_wo_max_max_K,firing_mean,T_out_mean_K,CH4_slip_mean_pct,n_physics_hours,verify_max_abs_dT_wo_K,verify_max_abs_dT_out_K,notes,event_hours,dD_event_to_base_ratio
S1_steady,hold_T_out,128523.36223173072,9.07623540336315e-05,11017.78386697039,1.0,9.076235403819116e-05,1.0000000000502374,1143.4322969813716,1143.4322969953778,0.9780424587994437,1105.5500000145835,8.106701065048291,0,0.012439232628594254,0.004524081897443466,"load 1.0, S/C 2.89, hold_T_out",,
S2_daily,hold_T_out,115653.25446981628,8.095588514701463e-05,12352.406476490443,0.9912127833685869,7.952122140828888e-05,0.982278450342178,1141.0698162495792,1143.4322969953778,0.9439080746919808,1105.550000012408,8.111198857415822,0,0.01397550317369678,0.002177369124638062,"1.0 06-22 h, 0.70 at night, ramp 0.10/h",,
S3_renewable,hold_T_out,109656.08608002217,7.614625579671888e-05,13132.622077566284,0.9833138126984041,7.480124892039016e-05,0.9823365330014471,1139.9314855734117,1146.1453961502527,0.9274210290698456,1105.550000000754,8.113294376526815,0,0.030551508590633603,0.029214829649617968,"bounded OU load [0.60, 1.10], mean 0.85, ramp 0.10/h",,
S4a_mild_overfire,hold_T_out,128552.76219094802,9.144759580329313e-05,10935.224608321401,1.007319419515668,9.076235403819116e-05,0.9925067273876074,1143.5091029230098,1157.4493813372956,0.9785783724754983,1105.637693697172,8.099958825859085,0,0.06152139828077452,0.012028134141473856,S1 + 24 events/yr of firing +10 % for 2 h,48.0,2.3778468408678646
S4b_severe_overfire,hold_T_out,128531.87201053204,9.11290619280212e-05,10973.447754678476,1.0039738332858232,9.076235403819116e-05,0.9959759501297217,1143.4568345720536,1179.2571793782292,0.9782099318232105,1105.5767129648796,8.104808446520048,6,0.012439232628594254,0.004524081897443466,S1 + 6 events/yr of firing +25 % for 1 h (physics model),6.0,6.898850145217714
S4c_hot_band,hold_T_out,128523.36223173072,9.327770257645853e-05,10720.675706826216,1.027713566594967,9.138423167682297e-05,0.9797007125246947,1143.5418860224675,1183.4322969839395,0.9780424587994437,1105.5500000145835,8.106701065048291,0,0.012439232628594254,0.004524081897443466,"S1 + 40 K added to T_wo,max for 24 h/yr (flame-impingement proxy)",24.0,11.115451797405425
S6_SC2.5,hold_T_out,119860.8936040535,9.829248295723355e-05,10173.717968189834,1.1612323384938388,9.829248288680234e-05,0.9999999992834527,1144.3005888436614,1144.3005888450475,0.8973752289333217,1105.5500000071295,9.79013232254002,0,0.009171044592221733,0.0016833824940931663,S1 at S/C 2.5,,
S6_SC3.5,hold_T_out,139775.98646637384,8.231024842103986e-05,12149.155411179436,0.8338687019394712,8.231024844917004e-05,1.000000000341758,1142.087575492908,1142.0875755041886,1.09151247292956,1105.5499999894296,6.187160557845252,0,0.029771086169603223,0.014449957134502256,S1 at S/C 3.5,,
S5_hold_CH4_slip_ageing_y1,hold_CH4_slip,128546.06689662414,6.488595012229231e-05,15411.656885893986,0.7147731041481151,6.470164846134245e-05,0.9971596060379403,1137.9806829606234,1139.3880465555067,0.9737645618373657,1104.2354069338394,8.10670106658195,0,0.07712228724108172,0.005895042402244144,year 1 of 4; activity 0.300 -> 0.250; hold_CH4_slip,,
S5_hold_CH4_slip_ageing_y2,hold_CH4_slip,128531.87236624415,7.957038083911246e-05,12567.49043368226,0.8766312124343957,7.898803420478456e-05,0.9926813642439971,1141.2664233469222,1143.431721397638,0.9763232465330558,1105.0231590604815,8.106701066611329,0,0.04183425082305803,0.005721903473840939,year 2 of 4; activity 0.250 -> 0.200; hold_CH4_slip,,
S5_hold_CH4_slip_ageing_y3,hold_CH4_slip,128512.0336054404,0.00011078386962854426,9026.584857100377,1.2207003295226109,0.0001088648748299989,0.982678030610596,1146.4966765606714,1150.2245039386426,0.9805321054679308,1106.31255780921,8.106701066597068,0,0.012439198671700069,0.010070902985717112,year 3 of 4; activity 0.200 -> 0.150; hold_CH4_slip,,
S5_hold_CH4_slip_ageing_y4,hold_CH4_slip,128471.06669559315,0.00020455778018896325,4888.594308543216,2.2546908332533966,0.00019417494408369244,0.949242526509236,1156.1265656148864,1163.6837356100295,0.9886486312843344,1108.8034348884698,8.106701066616939,0,0.08873446773418436,0.016172751397562024,year 4 of 4; activity 0.150 -> 0.100; hold_CH4_slip,,
S5_hold_T_out_ageing_y1,hold_T_out,129005.07660769958,7.000302665257976e-05,14285.096628220545,0.7683982085085036,6.989513223562163e-05,0.9984587178281076,1139.1397853024603,1140.2556190470466,0.9816595683540137,1105.550000000422,7.999137787784779,0,0.11130752008853051,0.007103259547193375,year 1 of 4; activity 0.300 -> 0.250; hold_T_out,,
