scenario,control,annual_H2_kmol_per_tube,annual_damage_D,years_to_D1_active_curve,life_consumption_per_kmol_H2_rel_S1,D_avg_condition,avg_condition_error,T_wo_max_mean_K,T_wo_max_max_K,firing_mean,T_out_mean_K,CH4_slip_mean_pct,n_physics_hours,verify_max_abs_dT_wo_K,verify_max_abs_dT_out_K,notes,event_hours,dD_event_to_base_ratio
S5_hold_CH4_slip_ageing_y3,hold_CH4_slip,128512.0336054404,0.000742970973412524,1345.947601972822,1.1793464726334704,0.0007330124800026593,0.9865963896757304,1146.4966765606714,1150.2245039386426,0.9805321054679308,1106.31255780921,8.106701066597068,0,0.012439198671700069,0.010070902985717112,year 3 of 4; activity 0.200 -> 0.150; hold_CH4_slip,,
S5_hold_CH4_slip_ageing_y4,hold_CH4_slip,128471.06669559315,0.0012340025730990694,810.3710817138766,1.9594044799699195,0.0011863792300253675,0.9614074199585331,1156.1265656148864,1163.6837356100295,0.9886486312843344,1108.8034348884698,8.106701066616939,0,0.08873446773418436,0.016172751397562024,year 4 of 4; activity 0.150 -> 0.100; hold_CH4_slip,,
S5_hold_T_out_ageing_y1,hold_T_out,129005.07660769958,0.0005077945173526835,1969.300506065646,0.8029612144478195,0.0005072304973697397,0.9988892751621576,1139.1397853024603,1140.2556190470466,0.9816595683540137,1105.550000000422,7.999137787784779,0,0.11130752008853051,0.007103259547193375,year 1 of 4; activity 0.300 -> 0.250; hold_T_out,,
S5_hold_T_out_ageing_y2,hold_T_out,128714.68427889697,0.0005782862540476676,1729.2473978078874,0.9164908531141699,0.0005757878337511538,0.9956796132036231,1141.7394255692536,1143.431849991079,0.9794791440596027,1105.5500000008642,8.063783794656631,0,0.05739861347228725,0.00584749209065194,year 2 of 4; activity 0.250 -> 0.200; hold_T_out,,
S5_hold_T_out_ageing_y3,hold_T_out,128250.75035536228,0.0007157948389094038,1397.048351904319,1.1385235268422635,0.0007090871143095627,0.9906289844027639,1145.8050093676045,1148.6796661587691,0.9759873327113029,1105.5500000007285,8.168231568183128,0,0.012439232628594254,0.009515046029036967,year 3 of 4; activity 0.200 -> 0.150; hold_T_out,,
S5_hold_T_out_ageing_y4,hold_T_out,127373.06414840103,0.001052932579662276,949.7284245119912,1.6863057804334711,0.001026661705431875,0.9750498040066086,1153.1472725999693,1158.7751714313083,0.9693693347748357,1105.550000000902,8.366291568326744,0,0.103112461522187,0.020287341625135014,year 4 of 4; activity 0.150 -> 0.100; hold_T_out,,
S5_hold_T_out_const_y1,hold_T_out,128523.36223173072,0.000630040861803975,1587.1986415876795,1.0,0.0006300408618303921,1.0000000000419291,1143.4322969813716,1143.4322969953778,0.9780424587994437,1105.5500000145835,8.106701065048291,0,0.012439232628594254,0.004524081897443466,year 1 of 4; activity 0.200 -> 0.200; hold_T_out,,
S5_hold_T_out_const_y2,hold_T_out,128523.36223173072,0.000630040861803975,1587.1986415876795,1.0,0.0006300408618303921,1.0000000000419291,1143.4322969813716,1143.4322969953778,0.9780424587994437,1105.5500000145835,8.106701065048291,0,0.012439232628594254,0.004524081897443466,year 2 of 4; activity 0.200 -> 0.200; hold_T_out,,
S5_hold_T_out_const_y3,hold_T_out,128523.36223173072,0.000630040861803975,1587.1986415876795,1.0,0.0006300408618303921,1.0000000000419291,1143.4322969813716,1143.4322969953778,0.9780424587994437,1105.5500000145835,8.106701065048291,0,0.012439232628594254,0.004524081897443466,year 3 of 4; activity 0.200 -> 0.200; hold_T_out,,
S5_hold_T_out_const_y4,hold_T_out,128523.36223173072,0.000630040861803975,1587.1986415876795,1.0,0.0006300408618303921,1.0000000000419291,1143.4322969813716,1143.4322969953778,0.9780424587994437,1105.5500000145835,8.106701065048291,0,0.012439232628594254,0.004524081897443466,year 4 of 4; activity 0.200 -> 0.200; hold_T_out,,
