scenario,control,annual_H2_kmol_per_tube,annual_damage_D,years_to_D1_yeh_placeholder,life_consumption_per_kmol_H2_rel_S1,D_avg_condition,avg_condition_error,T_wo_max_mean_K,T_wo_max_max_K,firing_mean,T_out_mean_K,CH4_slip_mean_pct,n_physics_hours,verify_max_abs_dT_wo_K,verify_max_abs_dT_out_K,notes,event_hours,dD_event_to_base_ratio,event_share_of_annual_damage_pct
S1_steady,hold_T_out,128568.63187297637,9.904770027217816e-05,10096.145566752682,1.0,9.904770028331281e-05,1.000000000112417,1144.8058913114214,1144.8058913133702,0.9662209273093121,1105.5500000167472,8.097085092332987,0,0.007473256320281507,0.00011372871904313797,"load 1.0, S/C 2.89, hold_T_out",,,
S2_daily,hold_T_out,115687.48398690834,8.779699720288706e-05,11389.911179867968,0.9851081514832524,8.583059150703511e-05,0.9776028137806597,1142.3328495715257,1144.8058913133702,0.9335309369957924,1105.5500000142101,8.10334464402633,0,0.00066648146253101,0.002028305685371379,"1.0 06-22 h, 0.70 at night, ramp 0.10/h",,,
S3_renewable,hold_T_out,109689.65774005506,8.226501999708295e-05,12155.834886267081,0.973509406805541,8.050292344931769e-05,0.9785802453117042,1141.1667631082041,1147.5963019849578,0.9178536915895691,1105.573500574644,8.104317851219292,0,0.017170037405321636,0.024809308303929356,"bounded OU load [0.60, 1.10], mean 0.85, ramp 0.10/h",,,
S4a_mild_overfire,hold_T_out,128598.39169906161,9.981178251553816e-05,10018.857241070966,1.00748108355595,9.904770028331281e-05,0.9923447691948953,1144.8844681725018,1159.1461684654203,0.9667503634338651,1105.6387316572727,8.090266072032364,0,0.013284141057511079,0.009375563559842703,S1 + 24 events/yr of firing +10 % for 2 h,48.0,2.4078571158298256,0.7655230921712858
S4b_severe_overfire,hold_T_out,128577.24557644365,9.940378048803307e-05,10059.979561042823,1.0035278044119151,9.904770028331281e-05,0.9964178404184222,1144.8293621496962,1179.0733151905326,0.9663863760982347,1105.57706820913,8.095170940289304,6,0.007473256320281507,0.00011372871904313797,S1 + 6 events/yr of firing +25 % for 1 h (physics model),6.0,6.248755037042042,0.35821596941425926
S4c_hot_band,hold_T_out,128568.63187297637,0.00010177539720661411,9825.557329635385,1.0275392253120503,9.97246958999301e-05,0.9798507167452181,1144.9154803525173,1184.8058913133702,0.9662209273093121,1105.5500000167472,8.097085092332987,0,0.007473256320281507,0.00011372871904313797,"S1 + 40 K added to T_wo,max for 24 h/yr (flame-impingement proxy)",24.0,11.051817249230185,2.680114260982048
S6_SC2.5,hold_T_out,119888.91052572106,0.00010613703075585315,9421.782321198512,1.1491548288308384,0.00010613703072094913,0.999999999671142,1145.5713021158151,1145.5713021340384,0.8870994422946636,1105.5500000083925,9.78260763606522,0,0.013883109690823403,0.0016649278859404149,S1 at S/C 2.5,,,
S6_SC3.5,hold_T_out,139842.82931838563,8.853835009073295e-05,11294.540715692274,0.821829731377136,8.853835009216474e-05,1.0000000000161715,1143.6190461249614,1143.6190461324927,1.0773227103960377,1105.5500000369764,6.174416921866472,0,0.006318896375660188,0.011657035363896284,S1 at S/C 3.5,,,
S5_hold_CH4_slip_ageing_y1,hold_CH4_slip,128588.92242173426,7.067462889487446e-05,14149.349146034541,0.7134287487212234,7.03971904805988e-05,0.9960744270098917,1139.3993001994336,1140.7960049666272,0.9621314230379602,1104.2676898025293,8.097085091844962,0,0.019576503425241754,0.0034340297095241112,year 1 of 4; activity 0.300 -> 0.250; hold_CH4_slip,,,
S5_hold_CH4_slip_ageing_y2,hold_CH4_slip,128576.58908827123,8.675179207192604e-05,11527.13939524037,0.8758045166939165,8.610138127747939e-05,0.9925026241082444,1142.6417812033853,1144.8053114430913,0.9645813976365791,1105.0368438413277,8.097085091837872,0,0.014820412474364275,0.0038775428351982555,year 2 of 4; activity 0.250 -> 0.200; hold_CH4_slip,,,
S5_hold_CH4_slip_ageing_y3,hold_CH4_slip,128557.36768194346,0.00012077553994898649,8279.822225778355,1.219474273150144,0.00011867107151611321,0.9825753754960469,1147.8844585427419,1151.6370535862168,0.9685958528559447,1106.294960891246,8.097085091836151,0,0.009397479112521978,0.007590658272647488,year 3 of 4; activity 0.200 -> 0.150; hold_CH4_slip,,,
S5_hold_CH4_slip_ageing_y4,hold_CH4_slip,128515.54507515748,0.00022309404281976392,4482.414623719436,2.25332034154401,0.00021148080429202607,0.9479446497945259,1157.556216414702,1165.1722169584395,0.9763611081959969,1108.74130430824,8.09708509184303,0,0.07175590983752045,0.021889216866156858,year 4 of 4; activity 0.150 -> 0.100; hold_CH4_slip,,,
S5_hold_T_out_ageing_y1,hold_T_out,129037.11085672812,7.599348384560004e-05,13159.022976650902,0.7644557475917944,7.57708167815799e-05,0.9970699189884157,1140.5656300104772,1141.6618098645663,0.9696575073764656,1105.5500000000027,7.99211738302249,0,0.01858445544485221,0.004249088558481162,year 1 of 4; activity 0.300 -> 0.250; hold_T_out,,,
S5_hold_T_out_ageing_y2,hold_T_out,128754.85277696974,8.922583982349787e-05,11207.515692518562,0.8995341672101665,8.873767051603522e-05,0.9945288348260064,1143.1091265785649,1144.8054373957023,0.9675852323714809,1105.550000000191,8.055269386565959,0,0.01771539900278185,0.004324080927062823,year 2 of 4; activity 0.250 -> 0.200; hold_T_out,,,
