regime,evaluated_by,T_wo_max_K,sigma_hot_MPa,H2_net_kmol_h,cost_avg,cost_pop_mean,cost_hottest_decile,ratio_pop_mean_to_avg,years_avg_tube,years_first_failure
base,surrogate,1146.7180575178436,12.86919036755289,14.814682929799686,5.741992243798466e-09,8.487973281154382e-09,3.0384479017926605e-08,1.4782279252156185,1341.9642036270072,82.76109758756175
min_life_iso_H2,surrogate,1108.3154373811346,12.758615652154008,14.866927062053596,7.047543513871885e-10,1.1063393520184482e-09,4.22588560938418e-09,1.5698226620961024,10895.242903301238,553.554101012755
min_fuel_iso_H2,surrogate,1126.246162767771,12.799370460587893,14.689041472752121,1.9218076463632935e-09,2.929821237591059e-09,1.0853064719639239e-08,1.5245132587203856,4043.8265546913035,225.40821585306685
min_life_overall,surrogate,1092.0034693919624,12.9732714316935,9.55750187606754,4.811563709785049e-10,7.760476647118503e-10,3.0450607322700954e-09,1.6128803680467512,24823.62839062259,1160.7895652267273
min_fuel_overall,surrogate,1127.415321807637,12.980931766456099,9.86549469867234,3.2806960489083388e-09,4.986946637014383e-09,1.8415451742533594e-08,1.5200879821444613,3527.045243931024,198.45893898287343
knee,surrogate,1126.8625938674413,12.6689021101252,17.062117455252555,1.620577289155081e-09,2.470183719872454e-09,9.148792342775665e-09,1.524261592707085,4128.508833236964,230.24600633967586
max_H2,surrogate,1177.0487665003734,12.637344001924737,19.26271852857832,1.848817079960402e-08,2.627987995714798e-08,8.97779619455798e-08,1.4214429454378927,320.54157794811283,22.610143526962926
