scenario,evaluated_by,H2_annual_kmol_per_tube,D_avg_tube,D_pop_mean,D_hottest,D_hottest_decile,n_hottest_decile,cost_avg,cost_pop_mean,cost_hottest_decile,years_avg_tube,years_pop_mean,years_hottest_decile,years_first_failure,ratio_pop_mean_to_avg,ratio_hottest_to_avg
S1_steady,stored hourly (8760 surrogate / 0 physics),128523.36223173072,0.0006300408618039771,0.0009357034182450855,0.010376259720651319,0.0033674161634457624,34,4.902150479599174e-09,7.280415031144218e-09,2.6200809759195607e-08,1587.198641587674,1068.71470222424,296.9635921022408,96.37384056701599,1.485147194367543,16.46918533337867
S2_daily,stored hourly (8760 surrogate / 0 physics),115653.25446981628,0.0005724494230402736,0.0008524447392459459,0.009511831189603954,0.0030770638477688856,34,4.949704404467702e-09,7.370693917380603e-09,2.66059425813387e-08,1746.8792171874488,1173.0965703238176,324.98513175964126,105.13222744038598,1.489117998789517,16.616020222514518
S3_renewable,stored hourly (8760 surrogate / 0 physics),109656.08608002217,0.0005444262426766829,0.0008119822217146175,0.009093012853269607,0.0029361658706248024,34,4.9648520400352845e-09,7.404807619360668e-09,2.6776132320481675e-08,1836.7961013111333,1231.5540577826393,340.58021381033376,109.97455036483605,1.4914457791793616,16.702010558057637
S4a_mild_overfire,stored hourly (8760 surrogate / 0 physics),128552.76219094802,0.0006336865708346002,0.0009409130069617562,0.010428833856436656,0.0033853293255203935,34,4.929388991994922e-09,7.319274910360581e-09,2.633416247012987e-08,1578.0672118125285,1062.7975090163095,295.39223627712494,95.88799800303674,1.484823965454281,16.457400766283094
S4b_severe_overfire,stored hourly (8754 surrogate / 6 physics),128531.87201053204,0.0006317374703782704,0.0009380836238222718,0.010399186140827039,0.003375413733358584,34,4.915025825862904e-09,7.2984514202469886e-09,2.6261297533128587e-08,1582.936024676868,1066.0030455765198,296.2599784782489,96.1613713282827,1.4849263623076974,16.461246369635536
S4c_hot_band,stored hourly (8760 surrogate / 0 physics),128523.36223173072,0.0006411142392767546,0.0009511697201131537,0.010523553544808247,0.003419087553706432,34,4.9883089591199e-09,7.400753478563468e-09,2.6602848652074128e-08,1559.784417092509,1051.3370840705877,292.47569250338694,95.02493580159015,1.4836197074427404,16.41447483163054
S6_SC2.5,stored hourly (8760 surrogate / 0 physics),119860.8936040535,0.0006741833610338832,0.0009996926174004506,0.011045403926010366,0.003591297642775415,34,5.624714957165006e-09,8.340440216496455e-09,2.996221315217996e-08,1483.2760014522842,1000.3074771126636,278.4508830705503,90.53539433222005,1.4828200682191086,16.383382569798016
S6_SC3.5,stored hourly (8760 surrogate / 0 physics),139775.98646637384,0.0005804009387563483,0.0008638067646766551,0.009626121026617045,0.003116126921785275,34,4.152365176803645e-09,6.1799368154304715e-09,2.2293721550911233e-08,1722.9469031231167,1157.666321789371,320.9111904296521,103.88400449515592,1.4882931900964418,16.585295411898155
S5_hold_CH4_slip_ageing_y1,stored hourly (8760 surrogate / 0 physics),128546.06689662414,0.00047659744167438754,0.0007133914281441533,0.008055392048774633,0.002590115104619854,34,3.7076003426667573e-09,5.549694715419476e-09,2.0149314305375106e-08,2098.206814721432,1401.7549980961255,386.08322781344805,124.14045076206037,1.496842756095917,16.90187849199177
S5_hold_CH4_slip_ageing_y2,stored hourly (8760 surrogate / 0 physics),128531.87236624415,0.0005645339145776634,0.000840956353430687,0.009391199202943257,0.0030368090568973246,34,4.392170628068473e-09,6.542784586802178e-09,2.3626895033817857e-08,1771.3727628713248,1189.122355661496,329.2930116000409,106.48267365967428,1.4896471792307102,16.63531447879258
