stage,specific_firing_factor,T_wo_max_K,z_frac_hot,dT_wall_hot_K,sigma_th_MPa,dT_wall_max_K,sigma_th_max_MPa,evaluated_by
"cold (ambient, no firing)",0.0,,,0.0,0.0,0.0,0.0,exact (zero flux)
firing 0.65,0.65,1082.9429266936158,0.41,44.98341318216012,86.75372542273738,50.733514098343676,97.84320576109138,physics
firing 0.75,0.75,1104.0359591804086,0.415,49.10036984824433,94.69357042161407,54.865659814223136,105.81234392743035,physics
firing 0.85,0.85,1122.6048863371502,0.42,52.70655264235302,101.64835152453799,58.56913873753024,112.95476756523688,physics
firing 0.95,0.95,1139.120254597768,0.425,55.87248454313203,107.75407733318322,61.90287433708136,119.38411479294263,physics
firing 1.00,1.0,1146.712500081438,0.43,56.927409751187724,109.7885759487192,63.448768776533825,122.3654826404581,physics
